subjectNumber,resultId,frameId,frameName,note,content,colorNumber,conditionNumber,color,distractorCount,featureContrast,condition,responseTime,errors,log_RT,mean_logRT,sd_logRT,filtered_logRT,filtered_mean_logRT,filtered_sd_logRT,filtered_zLogRT,totalSubjectErrors
1,6282c32db4f41367229c40fa,9f8f54586c4ae12b,visualsearch,13_1,13_1.png,13,1,red,5,contrast,"5, contrast",2231,0,3.34849957,3.540386604,0.2499289971,3.34849957,3.516025819,0.2087310783,-0.8025937034,6
1,6282c32db4f41367229c40fa,8d573149ba99fa67,visualsearch,9_2,9_2.png,9,2,blue,5,no contrast,"5, no contrast",1398,0,3.145507171,3.540386604,0.2499289971,3.145507171,3.516025819,0.2087310783,-1.775100531,6
1,6282c32db4f41367229c40fa,500ff6ecac72a0f6,visualsearch,9_1,9_1.png,9,1,blue,5,contrast,"5, contrast",6433,0,3.808413551,3.540386604,0.2499289971,3.808413551,3.516025819,0.2087310783,1.400786765,6
1,6282c32db4f41367229c40fa,7998233dc8d1b56f,visualsearch,14_1,14_1.png,14,1,red,5,contrast,"5, contrast",1781,0,3.250663919,3.540386604,0.2499289971,3.250663919,3.516025819,0.2087310783,-1.271309965,6
1,6282c32db4f41367229c40fa,7a26cfba13fa78ef,visualsearch,15_1,15_1.png,15,1,magenta,5,contrast,"5, contrast",3414,0,3.533263517,3.540386604,0.2499289971,3.533263517,3.516025819,0.2087310783,0.08258328106,6
1,6282c32db4f41367229c40fa,07e6e681d8e11ec9,visualsearch,16_2,16_2.png,16,2,magenta,5,no contrast,"5, no contrast",2680,0,3.428134794,3.540386604,0.2499289971,3.428134794,3.516025819,0.2087310783,-0.4210730196,6
1,6282c32db4f41367229c40fa,5f3811645013d2df,visualsearch,16_4,16_4.png,16,4,magenta,5,no contrast,"5, no contrast",1273,1,,3.540386604,0.2499289971,,3.516025819,0.2087310783,,6
1,6282c32db4f41367229c40fa,99bcd09083e5bf4c,visualsearch,14_3,14_3.png,14,3,red,5,contrast,"5, contrast",3114,0,3.493318608,3.540386604,0.2499289971,3.493318608,3.516025819,0.2087310783,-0.1087869206,6
1,6282c32db4f41367229c40fa,c3b22382a8101b42,visualsearch,10_3,10_3.png,10,3,blue,5,contrast,"5, contrast",1431,0,3.155639634,3.540386604,0.2499289971,3.155639634,3.516025819,0.2087310783,-1.726557389,6
1,6282c32db4f41367229c40fa,5a3677e6a52e8143,visualsearch,12_3,12_3.png,12,3,green,5,contrast,"5, contrast",2118,0,3.325925956,3.540386604,0.2499289971,3.325925956,3.516025819,0.2087310783,-0.9107405816,6
1,6282c32db4f41367229c40fa,3316767d8e08195b,visualsearch,9_3,9_3.png,9,3,blue,5,contrast,"5, contrast",2164,0,3.335257256,3.540386604,0.2499289971,3.335257256,3.516025819,0.2087310783,-0.866035688,6
1,6282c32db4f41367229c40fa,74113958ba3147e0,visualsearch,9_4,9_4.png,9,4,blue,5,no contrast,"5, no contrast",2780,0,3.444044796,3.540386604,0.2499289971,3.444044796,3.516025819,0.2087310783,-0.3448505327,6
1,6282c32db4f41367229c40fa,99bcd09083e5bf4c,visualsearch,14_3,14_3.png,14,3,red,5,contrast,"5, contrast",2081,0,3.31827208,3.540386604,0.2499289971,3.31827208,3.516025819,0.2087310783,-0.9474091775,6
1,6282c32db4f41367229c40fa,af3dac13a4b36f79,visualsearch,16_3,16_3.png,16,3,magenta,5,contrast,"5, contrast",2114,0,3.325104983,3.540386604,0.2499289971,3.325104983,3.516025819,0.2087310783,-0.914673742,6
1,6282c32db4f41367229c40fa,3316767d8e08195b,visualsearch,9_3,9_3.png,9,3,blue,5,contrast,"5, contrast",3298,0,3.518250651,3.540386604,0.2499289971,3.518250651,3.516025819,0.2087310783,0.01065884322,6
1,6282c32db4f41367229c40fa,33ce86d63db74332,visualsearch,10_4,10_4.png,10,4,blue,5,no contrast,"5, no contrast",1538,0,3.186956335,3.540386604,0.2499289971,3.186956335,3.516025819,0.2087310783,-1.576523662,6
1,6282c32db4f41367229c40fa,5f3811645013d2df,visualsearch,16_4,16_4.png,16,4,magenta,5,no contrast,"5, no contrast",2165,0,3.335457901,3.540386604,0.2499289971,3.335457901,3.516025819,0.2087310783,-0.8650744307,6
1,6282c32db4f41367229c40fa,c4add3a30347f727,visualsearch,13_4,13_4.png,13,4,red,5,no contrast,"5, no contrast",2981,0,3.474361976,3.540386604,0.2499289971,3.474361976,3.516025819,0.2087310783,-0.1996053667,6
1,6282c32db4f41367229c40fa,d2c5ee4af3458b37,visualsearch,15_4,15_4.png,15,4,magenta,5,no contrast,"5, no contrast",5237,0,3.719082574,3.540386604,0.2499289971,3.719082574,3.516025819,0.2087310783,0.9728151459,6
1,6282c32db4f41367229c40fa,61c39825af968835,visualsearch,15_3,15_3.png,15,3,magenta,5,contrast,"5, contrast",3746,1,,3.540386604,0.2499289971,,3.516025819,0.2087310783,,6
1,6282c32db4f41367229c40fa,c4add3a30347f727,visualsearch,13_4,13_4.png,13,4,red,5,no contrast,"5, no contrast",2501,0,3.398113692,3.540386604,0.2499289971,3.398113692,3.516025819,0.2087310783,-0.5648997201,6
1,6282c32db4f41367229c40fa,5b3990db130091ac,visualsearch,13_3,13_3.png,13,3,red,5,contrast,"5, contrast",1448,0,3.160768562,3.540386604,0.2499289971,3.160768562,3.516025819,0.2087310783,-1.701985447,6
1,6282c32db4f41367229c40fa,61c39825af968835,visualsearch,15_3,15_3.png,15,3,magenta,5,contrast,"5, contrast",3130,0,3.495544338,3.540386604,0.2499289971,3.495544338,3.516025819,0.2087310783,-0.09812377766,6
1,6282c32db4f41367229c40fa,729e9cc82eed2b90,visualsearch,14_4,14_4.png,14,4,red,5,no contrast,"5, no contrast",4136,0,3.61658053,3.540386604,0.2499289971,3.61658053,3.516025819,0.2087310783,0.481742879,6
1,6282c32db4f41367229c40fa,33ce86d63db74332,visualsearch,10_4,10_4.png,10,4,blue,5,no contrast,"5, no contrast",2217,0,3.345765693,3.540386604,0.2499289971,3.345765693,3.516025819,0.2087310783,-0.8156913082,6
1,6282c32db4f41367229c40fa,fb650382581f4a55,visualsearch,12_4,12_4.png,12,4,green,5,no contrast,"5, no contrast",3646,0,3.561816664,3.540386604,0.2499289971,3.561816664,3.516025819,0.2087310783,0.2193772255,6
1,6282c32db4f41367229c40fa,5b3990db130091ac,visualsearch,13_3,13_3.png,13,3,red,5,contrast,"5, contrast",5763,0,3.76064862,3.540386604,0.2499289971,3.76064862,3.516025819,0.2087310783,1.171951978,6
1,6282c32db4f41367229c40fa,729e9cc82eed2b90,visualsearch,14_4,14_4.png,14,4,red,5,no contrast,"5, no contrast",2103,0,3.322839273,3.540386604,0.2499289971,3.322839273,3.516025819,0.2087310783,-0.9255284278,6
1,6282c32db4f41367229c40fa,9af2ae0fe39f971f,visualsearch,11_4,11_4.png,11,4,green,5,no contrast,"5, no contrast",3317,0,3.520745472,3.540386604,0.2499289971,3.520745472,3.516025819,0.2087310783,0.02261116116,6
1,6282c32db4f41367229c40fa,74113958ba3147e0,visualsearch,9_4,9_4.png,9,4,blue,5,no contrast,"5, no contrast",4532,0,3.656289901,3.540386604,0.2499289971,3.656289901,3.516025819,0.2087310783,0.6719846552,6
1,6282c32db4f41367229c40fa,3442cd822517f3e5,visualsearch,11_3,11_3.png,11,3,green,5,contrast,"5, contrast",4632,0,3.665768551,3.540386604,0.2499289971,3.665768551,3.516025819,0.2087310783,0.7173954757,6
1,6282c32db4f41367229c40fa,3442cd822517f3e5,visualsearch,11_3,11_3.png,11,3,green,5,contrast,"5, contrast",3298,0,3.518250651,3.540386604,0.2499289971,3.518250651,3.516025819,0.2087310783,0.01065884322,6
1,6282c32db4f41367229c40fa,d2c5ee4af3458b37,visualsearch,15_4,15_4.png,15,4,magenta,5,no contrast,"5, no contrast",10285,0,4.012204296,3.540386604,0.2499289971,4.012204296,3.516025819,0.2087310783,2.37711835,6
